cryptocurrency_id,date_id,current_supply
bitcoin,1,11091289
bitcoin,2,11095639
bitcoin,3,11099364
bitcoin,4,11103139
bitcoin,5,11106489
bitcoin,6,11109914
bitcoin,7,11113889
bitcoin,8,11118014
bitcoin,9,11122164
bitcoin,10,11126364
bitcoin,11,11130489
bitcoin,12,11134589
bitcoin,13,11138889
bitcoin,14,11143439
bitcoin,15,11147639
bitcoin,16,11151989
bitcoin,17,11155839
bitcoin,18,11159364
bitcoin,19,11163064
bitcoin,20,11167089
bitcoin,21,11170814
bitcoin,22,11174714
bitcoin,23,11177939
bitcoin,24,11181714
bitcoin,25,11185614
bitcoin,26,11189964
bitcoin,27,11194189
bitcoin,28,11198314
bitcoin,29,11202389
bitcoin,30,11206789
bitcoin,31,11210739
bitcoin,32,11214939
bitcoin,33,11219414
bitcoin,34,11223789
bitcoin,35,11229114
bitcoin,36,11234089
bitcoin,37,11239414
bitcoin,38,11249339
bitcoin,39,11253864
bitcoin,40,11257889
bitcoin,41,11262414
bitcoin,42,11266389
bitcoin,43,11270739
bitcoin,44,11275239
bitcoin,45,11280314
bitcoin,46,11284964
bitcoin,47,11289464
bitcoin,48,11293789
bitcoin,49,11298414
bitcoin,50,11302039
bitcoin,51,11305539
bitcoin,52,11308939
bitcoin,53,11312789
bitcoin,54,11316989
bitcoin,55,11321389
bitcoin,56,11325514
bitcoin,57,11329264
bitcoin,58,11333189
bitcoin,59,11337539
bitcoin,60,11341714
bitcoin,61,11345939
bitcoin,62,11350164
bitcoin,63,11353989
bitcoin,64,11357914
bitcoin,65,11361739
bitcoin,66,11366339
bitcoin,67,11370464
bitcoin,68,11375114
bitcoin,69,11379789
bitcoin,70,11384439
bitcoin,71,11389239
bitcoin,72,11393864
bitcoin,73,11398739
bitcoin,74,11403089
bitcoin,75,11406939
bitcoin,76,11410864
bitcoin,77,11415164
bitcoin,78,11419264
bitcoin,79,11423364
bitcoin,80,11427964
bitcoin,81,11431989
bitcoin,82,11436264
bitcoin,83,11440914
bitcoin,84,11445889
bitcoin,85,11450014
bitcoin,86,11453539
bitcoin,87,11457514
bitcoin,88,11461164
bitcoin,89,11465264
bitcoin,90,11469789
bitcoin,91,11473989
bitcoin,92,11478439
bitcoin,93,11483364
bitcoin,94,11488114
bitcoin,95,11492539
bitcoin,96,11497339
bitcoin,97,11501589
bitcoin,98,11506064
bitcoin,99,11510789
bitcoin,100,11515539
bitcoin,101,11520189
bitcoin,102,11525314
bitcoin,103,11530189
bitcoin,104,11535439
bitcoin,105,11540839
bitcoin,106,11546239
bitcoin,107,11550814
bitcoin,108,11555014
bitcoin,109,11559264
bitcoin,110,11563464
bitcoin,111,11568214
bitcoin,112,11573064
bitcoin,113,11577489
bitcoin,114,11582239
bitcoin,115,11587139
bitcoin,116,11592539
bitcoin,117,11597439
bitcoin,118,11602014
bitcoin,119,11605789
bitcoin,120,11609939
bitcoin,121,11614164
bitcoin,122,11618614
bitcoin,123,11623339
bitcoin,124,11628464
bitcoin,125,11634039
bitcoin,126,11639564
bitcoin,127,11644939
bitcoin,128,11649789
bitcoin,129,11653864
bitcoin,130,11658339
bitcoin,131,11662964
bitcoin,132,11666589
bitcoin,133,11670514
bitcoin,134,11675589
bitcoin,135,11680364
bitcoin,136,11685364
bitcoin,137,11690689
bitcoin,138,11695789
bitcoin,139,11701239
bitcoin,140,11705764
bitcoin,141,11709614
bitcoin,142,11714089
bitcoin,143,11718214
bitcoin,144,11722964
bitcoin,145,11727964
bitcoin,146,11732689
bitcoin,147,11737764
bitcoin,148,11743014
bitcoin,149,11748314
bitcoin,150,11753464
bitcoin,151,11757514
bitcoin,152,11761964
bitcoin,153,11766389
bitcoin,154,11770639
bitcoin,155,11774714
bitcoin,156,11779389
bitcoin,157,11784164
bitcoin,158,11789139
bitcoin,159,11793639
bitcoin,160,11799114
bitcoin,161,11803739
bitcoin,162,11807639
bitcoin,163,11811664
bitcoin,164,11816139
bitcoin,165,11820939
bitcoin,166,11825564
bitcoin,167,11830914
bitcoin,168,11836439
bitcoin,169,11842689
bitcoin,170,11849189
bitcoin,171,11854439
bitcoin,172,11858614
bitcoin,173,11863414
bitcoin,174,11868989
bitcoin,175,11873964
bitcoin,176,11879239
bitcoin,177,11885364
bitcoin,178,11890889
bitcoin,179,11896264
bitcoin,180,11902139
bitcoin,181,11906689
bitcoin,182,11911164
bitcoin,183,11915539
bitcoin,184,11919539
bitcoin,185,11924414
bitcoin,186,11929689
bitcoin,187,11934889
bitcoin,188,11939939
bitcoin,189,11944739
bitcoin,190,11949614
bitcoin,191,11953964
bitcoin,192,11958039
bitcoin,193,11961639
bitcoin,194,11964989
bitcoin,195,11968689
bitcoin,196,11972964
bitcoin,197,11977639
bitcoin,198,11982664
bitcoin,199,11986864
bitcoin,200,11991439
bitcoin,201,11995589
bitcoin,202,12000439
bitcoin,203,12005089
bitcoin,204,12008989
bitcoin,205,12013014
bitcoin,206,12017114
bitcoin,207,12020864
bitcoin,208,12025164
bitcoin,209,12029414
bitcoin,210,12033614
bitcoin,211,12037939
bitcoin,212,12041914
bitcoin,213,12046239
bitcoin,214,12050764
bitcoin,215,12055089
bitcoin,216,12059489
bitcoin,217,12064364
bitcoin,218,12068339
bitcoin,219,12073339
bitcoin,220,12077614
bitcoin,221,12081864
bitcoin,222,12087064
bitcoin,223,12091939
bitcoin,224,12096814
bitcoin,225,12101214
bitcoin,226,12106014
bitcoin,227,12110139
bitcoin,228,12114214
bitcoin,229,12118564
bitcoin,230,12123514
bitcoin,231,12127939
bitcoin,232,12132964
bitcoin,233,12138039
bitcoin,234,12143014
bitcoin,235,12148664
bitcoin,236,12153114
bitcoin,237,12157139
bitcoin,238,12161364
bitcoin,239,12165639
bitcoin,240,12169864
bitcoin,241,12173914
bitcoin,242,12178414
bitcoin,243,12183014
bitcoin,244,12186764
bitcoin,245,12190964
bitcoin,246,12195289
